;plot_id;Biomass;plot;ABMMO;acacm;ACACO;adizo;UK1;AGECO;alblu;amlmi;ZNODU;atdve;atdso;apooc;adapo;bwusol;BIDPI;BLUSO;BOEER;srpqu;BRNPA;BUDAS;cajcr;llrat;cwsgr;celpa;CLLAS;UK3;EUPOD;cogqu;COMBE;ERISU;CRSCR;KXLFO;cklba;CYNDA;CYPLX;CYPIR;UK2;CZTPA;dagri;dagov;DEDGA;DEDVE;DIGMB;DIGTI;DMCLO;DIUAL;DIUNU;DOSMA;ELEIN;eblts;euocc;EPHHI;EPHHL;FIUHS;FIUHT;FLCJA;fleso;AIIGA;gadso;GUGPI;gigab;glfob;grwab;HPWAR;hrspe;HYOAU;IMPCY;laeto;ETNBI;lqzru;LEFCH;lidlt;lidsp;LISMO;lisse;MCRDE;mbeto;MLLBA;MANES;mkmst;RHYRE;MIKMI;mijpc;MIMIN;MTCVI;mtgro;MOLST;MOMCH;MUCPR;MUYKO;MUBSS;rxlin;OXACO;paepi;PANNT;PANBR;PANRE;PASCO;PESPO;ocoln;PHRKA;PYLAM;PHYMI;prdse;PSIGU;pufmc;PUEPH;SALSS;SCFDU;selhl;CASSM;sjngr;ptmsia;SIDAC;smiov;SOLVE;SOLAM;SPLPA;stjcr;srlla;srunr;SBWAS;sysra;syzal;tcxim;ckssu;tssla;THNGR;thsla;TOUSS;TREOR;tvepa;VENSS;VIXQU;UK4;season;s;Easting;Northing;crop_annual;crop_trees
11;M3-D16;76.754;M3;0;0;0;0;0;17.8;0.01;0;0;4;0;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0.13;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22;0;0;0;0;0.01;0;0;0;0;0.01;0;0;0.02;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0.01;0.01;0;0;0;0;0;2.02;0;0;0;0;0;0;0;D16;D;651963.13;2212986.9405;M;none
12;M3-D17;166.644;M3;0;0;0;0;0;67.2;0;0;0;12.04;0;0.01;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15;0;0;1.11;0;0;0.01;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0.01;0;1.15;0;0;0;0;0;0;0;0;0;0;0;0;0.12;4;1.2;0;0;0;0;0;0;0;0;6.07;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.04;0;0;0.6;0;0;2.04;0;0;0;0;0;0;0.4;D17;D;651963.13;2212986.9405;M;none
13;M3-D18;39.846;M3;0;0;0;0;0;40.6;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;0.2;0;1;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;29;2.6;0;0;0;0;0;0;0;0.4;1;0;0;0;0.8;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;D18;D;651963.13;2212986.9405;ULR;none
14;M3-R16;11.826;M3;0;1.01;0;0;0;488;0;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0.2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.15;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.6;0;0;0;0;0;0;0;0;0;0;0;1.11;2;1.2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0.01;0;0;0;0;0;1;0;0;0;0;0;0;0;R16;R;651963.13;2212986.9405;M;none
15;M3-R17;44.26;M3;0;0;0;0;0;130.6;0;0;0;0;0;0.01;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;0.2;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.09;0;0;0.09;1;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;3.06;2;0.4;0;0;0;0;0;0;0;0;3.06;0;0;0;0;0.4;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0.01;0;0;0;0;0;1.05;0;0;0;0;0;0;0;R17;R;651963.13;2212986.9405;ULR;none
16;M4-D16;3.83;M4;0;0;0;0;0;29.6;0;0;0;0;0;0;0;0;0;0.2;0;0;0;1;0;0;0;0;0;0;0;0;0;26.4;2.2;0;0;0;0;0;0;0;0;8.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0;0;0;0;0;0;0;0;0.08;0;0;0;0;0;D16;D;651628.2565;2214083.49075;M;none
17;M4-D17;81.122;M4;0;0;0;0;0;51.8;0;0;0;0.01;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;95.2;0.6;0;1;0;0;0;0;0;0;2.13;0;3.01;0;0;0;0;0;0;0.2;0;0;21.8;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0.01;0;0;0;0;0;0;0;0;1.13;1;3;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0.2;0;0;0.08;0;0;0;0;0.2;0;0;0;0.04;0;0;1;0.01;0;D17;D;651628.2565;2214083.49075;M;none
18;M4-D18;46.094;M4;0;0;0;0;0;187.8;0;0;0;0;0;0;0;0;0.4;2.6;0;0;0;5;0;0;0;0;0;0;0.2;0;0;62.4;9.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;5;1;10.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;1.6;0;0;0;0;0;0;0;1;0;0;0.8;0;0;0;6.6;0;0;D18;D;651628.2565;2214083.49075;ULR;none
19;M4-R16;76.77;M4;0;0;0;0;0;168;0;0;0;0;0;0;0;0;0;5.2;0;0;0;0;0;0;0;0;0;0;0;0;0;631.4;0.2;0;0;0;0;0;0;0;0;2.06;0;0;0;0;0.06;0.4;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;2.6;0;0;2;0;0;0;0;0;0;2.01;0;12.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.01;0;0;0;0;0;4.03;0;0;0;0.05;0;R16;R;651628.2565;2214083.49075;M;none
20;M4-R17;1.248;M4;0;0;0;0;0;58.6;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0.2;0.01;0;0.4;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0.22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0.4;0;0;0.2;0;0;0;0;0;0;R17;R;651628.2565;2214083.49075;ULR;none
